Hospital_Name,Hospital_Address,Organization_Name,Organization_Address,Request_ID,Blood_Type,Rh_Factor
Mercy Health,100 Medical Center Drive Springfield OH 45504,American Red Cross,5 Masonic Drive Bancroft Manor Suite 312 Springfield OH 45504,130022,AB,-
Mercy Health,100 Medical Center Drive Springfield OH 45504,American Red Cross,5 Masonic Drive Bancroft Manor Suite 312 Springfield OH 45504,133113,A,-
Mercy Health,100 Medical Center Drive Springfield OH 45504,American Red Cross,5 Masonic Drive Bancroft Manor Suite 312 Springfield OH 45504,133433,B,-
Mercy Health,100 Medical Center Drive Springfield OH 45504,American Red Cross,5 Masonic Drive Bancroft Manor Suite 312 Springfield OH 45504,134248,AB,+
Mercy Health,100 Medical Center Drive Springfield OH 45504,American Red Cross,5 Masonic Drive Bancroft Manor Suite 312 Springfield OH 45504,135857,B,-
Mercy Health,100 Medical Center Drive Springfield OH 45504,American Red Cross,5 Masonic Drive Bancroft Manor Suite 312 Springfield OH 45504,135941,A,+
Mercy Health,100 Medical Center Drive Springfield OH 45504,American Red Cross,5 Masonic Drive Bancroft Manor Suite 312 Springfield OH 45504,136326,B,-
Samaritan Hospital,1025 Center Street Ashland OH 44805,American Red Cross,404 Columbus Avenue Sandusky OH 44870,136535,A,-
Samaritan Hospital,1025 Center Street Ashland OH 44805,American Red Cross,404 Columbus Avenue Sandusky OH 44870,136640,O,-
Samaritan Hospital,1025 Center Street Ashland OH 44805,American Red Cross,404 Columbus Avenue Sandusky OH 44870,138533,O,+
Samaritan Hospital,1025 Center Street Ashland OH 44805,American Red Cross,404 Columbus Avenue Sandusky OH 44870,138829,O,+
Samaritan Hospital,1025 Center Street Ashland OH 44805,American Red Cross,404 Columbus Avenue Sandusky OH 44870,139152,AB,+
Samaritan Hospital,1025 Center Street Ashland OH 44805,American Red Cross,404 Columbus Avenue Sandusky OH 44870,139266,A,+
Samaritan Hospital,1025 Center Street Ashland OH 44805,American Red Cross,404 Columbus Avenue Sandusky OH 44870,139422,O,-
Samaritan Hospital,1025 Center Street Ashland OH 44805,American Red Cross,404 Columbus Avenue Sandusky OH 44870,139576,AB,-
Samaritan Hospital,1025 Center Street Ashland OH 44805,American Red Cross,404 Columbus Avenue Sandusky OH 44870,140683,A,+
Samaritan Hospital,1025 Center Street Ashland OH 44805,American Red Cross,404 Columbus Avenue Sandusky OH 44870,141329,O,-
Samaritan Hospital,1025 Center Street Ashland OH 44805,American Red Cross,404 Columbus Avenue Sandusky OH 44870,141692,O,+
Samaritan Hospital,1025 Center Street Ashland OH 44805,American Red Cross,404 Columbus Avenue Sandusky OH 44870,143768,A,-
Samaritan Hospital,1025 Center Street Ashland OH 44805,American Red Cross,102 N. Thoman Street Crestline OH 44827,144103,B,-
Samaritan Hospital,1025 Center Street Ashland OH 44805,American Red Cross,102 N. Thoman Street Crestline OH 44827,144841,AB,+
Samaritan Hospital,1025 Center Street Ashland OH 44805,American Red Cross,102 N. Thoman Street Crestline OH 44827,145776,O,+
Samaritan Hospital,1025 Center Street Ashland OH 44805,American Red Cross,102 N. Thoman Street Crestline OH 44827,147802,A,-
Samaritan Hospital,1025 Center Street Ashland OH 44805,American Red Cross,102 N. Thoman Street Crestline OH 44827,147908,A,-
Samaritan Hospital,1025 Center Street Ashland OH 44805,American Red Cross,102 N. Thoman Street Crestline OH 44827,149885,A,+
Samaritan Hospital,1025 Center Street Ashland OH 44805,American Red Cross,102 N. Thoman Street Crestline OH 44827,150439,AB,-
Samaritan Hospital,1025 Center Street Ashland OH 44805,American Red Cross,102 N. Thoman Street Crestline OH 44827,150868,A,-
Samaritan Hospital,1025 Center Street Ashland OH 44805,American Red Cross,102 N. Thoman Street Crestline OH 44827,151028,AB,+
Samaritan Hospital,1025 Center Street Ashland OH 44805,American Red Cross,102 N. Thoman Street Crestline OH 44827,151906,B,-
Samaritan Hospital,1025 Center Street Ashland OH 44805,American Red Cross,102 N. Thoman Street Crestline OH 44827,158366,AB,+
Select Specialty Hospital,10500 Montgomery Rd.1st Floor Cincinnati OH 45242,Hoxworth Blood Center,11812 Springfield Pike Cincinnati OH 45246,159182,O,-
Select Specialty Hospital,10500 Montgomery Rd.1st Floor Cincinnati OH 45242,Hoxworth Blood Center,11812 Springfield Pike Cincinnati OH 45246,160473,B,-
Select Specialty Hospital,10500 Montgomery Rd.1st Floor Cincinnati OH 45242,Hoxworth Blood Center,11812 Springfield Pike Cincinnati OH 45246,161884,AB,+
Select Specialty Hospital,10500 Montgomery Rd.1st Floor Cincinnati OH 45242,Hoxworth Blood Center,11812 Springfield Pike Cincinnati OH 45246,162842,B,+
Select Specialty Hospital,10500 Montgomery Rd.1st Floor Cincinnati OH 45242,Hoxworth Blood Center,11812 Springfield Pike Cincinnati OH 45246,163654,AB,-
Select Specialty Hospital,10500 Montgomery Rd.1st Floor Cincinnati OH 45242,Hoxworth Blood Center,11812 Springfield Pike Cincinnati OH 45246,164364,O,-
Select Specialty Hospital,10500 Montgomery Rd.1st Floor Cincinnati OH 45242,Hoxworth Blood Center,11812 Springfield Pike Cincinnati OH 45246,165113,B,-
Select Specialty Hospital,10500 Montgomery Rd.1st Floor Cincinnati OH 45242,Hoxworth Blood Center,11812 Springfield Pike Cincinnati OH 45246,165844,A,-
Select Specialty Hospital,10500 Montgomery Rd.1st Floor Cincinnati OH 45242,Hoxworth Blood Center,11812 Springfield Pike Cincinnati OH 45246,166132,B,-
Select Specialty Hospital,10500 Montgomery Rd.1st Floor Cincinnati OH 45242,Hoxworth Blood Center,11812 Springfield Pike Cincinnati OH 45246,166569,AB,-
Select Specialty Hospital,10500 Montgomery Rd.1st Floor Cincinnati OH 45242,Hoxworth Blood Center,11812 Springfield Pike Cincinnati OH 45246,166587,AB,+
Select Specialty Hospital,10500 Montgomery Rd.1st Floor Cincinnati OH 45242,Hoxworth Blood Center,11812 Springfield Pike Cincinnati OH 45246,167565,AB,+
Select Specialty Hospital,10500 Montgomery Rd.1st Floor Cincinnati OH 45242,Hoxworth Blood Center,11812 Springfield Pike Cincinnati OH 45246,168134,A,+
Marymount Hospital,12300 McCracken Road Garfield Heights OH 44125,Cleveland Cord Blood Center,25001 Emery Road Suite 150 Cleveland Ohio 44128,168734,AB,+
Marymount Hospital,12300 McCracken Road Garfield Heights OH 44125,Cleveland Cord Blood Center,25001 Emery Road Suite 150 Cleveland Ohio 44128,168853,O,-
Marymount Hospital,12300 McCracken Road Garfield Heights OH 44125,Cleveland Cord Blood Center,25001 Emery Road Suite 150 Cleveland Ohio 44128,170294,O,-
Marymount Hospital,12300 McCracken Road Garfield Heights OH 44125,Cleveland Cord Blood Center,25001 Emery Road Suite 150 Cleveland Ohio 44128,171333,B,-
Marymount Hospital,12300 McCracken Road Garfield Heights OH 44125,Cleveland Cord Blood Center,25001 Emery Road Suite 150 Cleveland Ohio 44128,171933,B,-
Marymount Hospital,12300 McCracken Road Garfield Heights OH 44125,Cleveland Cord Blood Center,25001 Emery Road Suite 150 Cleveland Ohio 44128,174484,AB,+
Marymount Hospital,12300 McCracken Road Garfield Heights OH 44125,Cleveland Cord Blood Center,25001 Emery Road Suite 150 Cleveland Ohio 44128,176650,B,-
Marymount Hospital,12300 McCracken Road Garfield Heights OH 44125,Cleveland Cord Blood Center,25001 Emery Road Suite 150 Cleveland Ohio 44128,177056,A,+
Marymount Hospital,12300 McCracken Road Garfield Heights OH 44125,Cleveland Cord Blood Center,25001 Emery Road Suite 150 Cleveland Ohio 44128,178860,O,-
Marymount Hospital,12300 McCracken Road Garfield Heights OH 44125,Cleveland Cord Blood Center,25001 Emery Road Suite 150 Cleveland Ohio 44128,179007,O,+
Marymount Hospital,12300 McCracken Road Garfield Heights OH 44125,Cleveland Cord Blood Center,25001 Emery Road Suite 150 Cleveland Ohio 44128,179510,AB,+
Marymount Hospital,12300 McCracken Road Garfield Heights OH 44125,Cleveland Cord Blood Center,25001 Emery Road Suite 150 Cleveland Ohio 44128,180056,B,+
Select Specialty Hospital,1320 Mercy Dr NW -6th Floor Canton OH 44708,American Red Cross,408 9th Street SW Canton OH 44707,180698,A,+
Select Specialty Hospital,1320 Mercy Dr NW -6th Floor Canton OH 44708,American Red Cross,408 9th Street SW Canton OH 44707,180711,AB,-
Select Specialty Hospital,1320 Mercy Dr NW -6th Floor Canton OH 44708,American Red Cross,408 9th Street SW Canton OH 44707,182085,A,-
Select Specialty Hospital,1320 Mercy Dr NW -6th Floor Canton OH 44708,American Red Cross,408 9th Street SW Canton OH 44707,182707,O,-
Select Specialty Hospital,1320 Mercy Dr NW -6th Floor Canton OH 44708,American Red Cross,408 9th Street SW Canton OH 44707,185078,A,+
Select Specialty Hospital,1320 Mercy Dr NW -6th Floor Canton OH 44708,American Red Cross,408 9th Street SW Canton OH 44707,186256,AB,+
Select Specialty Hospital,1320 Mercy Dr NW -6th Floor Canton OH 44708,American Red Cross,408 9th Street SW Canton OH 44707,186353,O,+
Select Specialty Hospital,1320 Mercy Dr NW -6th Floor Canton OH 44708,American Red Cross,408 9th Street SW Canton OH 44707,189854,B,-
Select Specialty Hospital,1320 Mercy Dr NW -6th Floor Canton OH 44708,American Red Cross,408 9th Street SW Canton OH 44707,190894,B,+
Select Specialty Hospital,1320 Mercy Dr NW -6th Floor Canton OH 44708,American Red Cross,408 9th Street SW Canton OH 44707,191603,AB,-
Select Specialty Hospital,1320 Mercy Dr NW -6th Floor Canton OH 44708,American Red Cross,408 9th Street SW Canton OH 44707,191635,O,+
Select Specialty Hospital,1320 Mercy Dr NW -6th Floor Canton OH 44708,American Red Cross,408 9th Street SW Canton OH 44707,192326,A,-
Select Specialty Hospital,1320 Mercy Dr NW -6th Floor Canton OH 44708,Vitalant,4119 Tuscarawas St W Canton OH 44708,192483,O,+
Select Specialty Hospital,1320 Mercy Dr NW -6th Floor Canton OH 44708,Vitalant,4119 Tuscarawas St W Canton OH 44708,193933,AB,+
Select Specialty Hospital,1320 Mercy Dr NW -6th Floor Canton OH 44708,Vitalant,4119 Tuscarawas St W Canton OH 44708,194222,O,-
Select Specialty Hospital,1320 Mercy Dr NW -6th Floor Canton OH 44708,Vitalant,4119 Tuscarawas St W Canton OH 44708,195640,B,+
Bellevue Hospital,1400 W Main St Bellevue OH 44811,American Red Cross,404 Columbus Avenue Sandusky OH 44870,196030,A,-
Bellevue Hospital,1400 W Main St Bellevue OH 44811,American Red Cross,404 Columbus Avenue Sandusky OH 44870,197560,AB,+
Bellevue Hospital,1400 W Main St Bellevue OH 44811,American Red Cross,404 Columbus Avenue Sandusky OH 44870,197671,O,+
Bellevue Hospital,1400 W Main St Bellevue OH 44811,American Red Cross,404 Columbus Avenue Sandusky OH 44870,198690,B,-
Bellevue Hospital,1400 W Main St Bellevue OH 44811,American Red Cross,404 Columbus Avenue Sandusky OH 44870,201994,A,-
Bellevue Hospital,1400 W Main St Bellevue OH 44811,American Red Cross,404 Columbus Avenue Sandusky OH 44870,204643,O,+
Bellevue Hospital,1400 W Main St Bellevue OH 44811,American Red Cross,404 Columbus Avenue Sandusky OH 44870,207474,O,-
Bellevue Hospital,1400 W Main St Bellevue OH 44811,American Red Cross,404 Columbus Avenue Sandusky OH 44870,207566,B,-
Bellevue Hospital,1400 W Main St Bellevue OH 44811,American Red Cross,404 Columbus Avenue Sandusky OH 44870,209270,O,+
Bellevue Hospital,1400 W Main St Bellevue OH 44811,American Red Cross,404 Columbus Avenue Sandusky OH 44870,211429,B,-
Bellevue Hospital,1400 W Main St Bellevue OH 44811,American Red Cross,404 Columbus Avenue Sandusky OH 44870,214020,AB,-
Bellevue Hospital,1400 W Main St Bellevue OH 44811,American Red Cross,404 Columbus Avenue Sandusky OH 44870,215352,A,-
Bellevue Hospital,1400 W Main St Bellevue OH 44811,American Red Cross,404 Columbus Avenue Sandusky OH 44870,217115,B,-
Bellevue Hospital,1400 W Main St Bellevue OH 44811,American Red Cross,404 Columbus Avenue Sandusky OH 44870,217196,B,-
Bellevue Hospital,1400 W Main St Bellevue OH 44811,American Red Cross,102 N. Thoman Street Crestline OH 44827,220032,A,-
Bellevue Hospital,1400 W Main St Bellevue OH 44811,American Red Cross,102 N. Thoman Street Crestline OH 44827,222504,AB,-
Bellevue Hospital,1400 W Main St Bellevue OH 44811,American Red Cross,102 N. Thoman Street Crestline OH 44827,222620,AB,+
Bellevue Hospital,1400 W Main St Bellevue OH 44811,American Red Cross,102 N. Thoman Street Crestline OH 44827,222661,AB,-
Bellevue Hospital,1400 W Main St Bellevue OH 44811,American Red Cross,102 N. Thoman Street Crestline OH 44827,224548,B,-
Bellevue Hospital,1400 W Main St Bellevue OH 44811,American Red Cross,102 N. Thoman Street Crestline OH 44827,225026,AB,+
Rehabilitation Hospital of Northwest Ohio,1455 West Medical Loop Toledo OH 43614,American Red Cross,1111 Research Dr. Toledo OH 43614,225056,B,-
Rehabilitation Hospital of Northwest Ohio,1455 West Medical Loop Toledo OH 43614,American Red Cross,1111 Research Dr. Toledo OH 43614,225492,B,-
Rehabilitation Hospital of Northwest Ohio,1455 West Medical Loop Toledo OH 43614,American Red Cross,1111 Research Dr. Toledo OH 43614,226340,O,+
Rehabilitation Hospital of Northwest Ohio,1455 West Medical Loop Toledo OH 43614,American Red Cross,1111 Research Dr. Toledo OH 43614,226732,O,+
Rehabilitation Hospital of Northwest Ohio,1455 West Medical Loop Toledo OH 43614,American Red Cross,1111 Research Dr. Toledo OH 43614,226985,A,+
Rehabilitation Hospital of Northwest Ohio,1455 West Medical Loop Toledo OH 43614,American Red Cross,1111 Research Dr. Toledo OH 43614,227897,AB,+
Rehabilitation Hospital of Northwest Ohio,1455 West Medical Loop Toledo OH 43614,American Red Cross,1111 Research Dr. Toledo OH 43614,228033,A,-
Rehabilitation Hospital of Northwest Ohio,1455 West Medical Loop Toledo OH 43614,American Red Cross,1111 Research Dr. Toledo OH 43614,228059,AB,-
Rehabilitation Hospital of Northwest Ohio,1455 West Medical Loop Toledo OH 43614,American Red Cross,1111 Research Dr. Toledo OH 43614,228114,O,+
Rehabilitation Hospital of Northwest Ohio,1455 West Medical Loop Toledo OH 43614,American Red Cross,1111 Research Dr. Toledo OH 43614,228543,B,+
Rehabilitation Hospital of Northwest Ohio,1455 West Medical Loop Toledo OH 43614,American Red Cross,1111 Research Dr. Toledo OH 43614,228946,A,+
Rehabilitation Hospital of Northwest Ohio,1455 West Medical Loop Toledo OH 43614,American Red Cross,1111 Research Dr. Toledo OH 43614,229308,AB,-
Rehabilitation Hospital of Northwest Ohio,1455 West Medical Loop Toledo OH 43614,American Red Cross,1111 Research Dr. Toledo OH 43614,229513,A,+
Rehabilitation Hospital of Northwest Ohio,1455 West Medical Loop Toledo OH 43614,American Red Cross,1111 Research Dr. Toledo OH 43614,230044,A,-
Rehabilitation Hospital of Northwest Ohio,1455 West Medical Loop Toledo OH 43614,American Red Cross,1111 Research Dr. Toledo OH 43614,232804,B,-
Rehabilitation Hospital of Northwest Ohio,1455 West Medical Loop Toledo OH 43614,American Red Cross,1111 Research Dr. Toledo OH 43614,233769,A,-
Encompass Health Rehabilitation Hospital,151 West Galbraith Rd. Cincinnati OH 45216,American Red Cross,2111 Dana Ave. Cincinnati OH 45207,234397,O,-
Encompass Health Rehabilitation Hospital,151 West Galbraith Rd. Cincinnati OH 45216,American Red Cross,2111 Dana Ave. Cincinnati OH 45207,235611,O,+
Encompass Health Rehabilitation Hospital,151 West Galbraith Rd. Cincinnati OH 45216,American Red Cross,2111 Dana Ave. Cincinnati OH 45207,235632,O,+
Encompass Health Rehabilitation Hospital,151 West Galbraith Rd. Cincinnati OH 45216,American Red Cross,2111 Dana Ave. Cincinnati OH 45207,237539,B,+
Encompass Health Rehabilitation Hospital,151 West Galbraith Rd. Cincinnati OH 45216,American Red Cross,2111 Dana Ave. Cincinnati OH 45207,237597,B,+
Encompass Health Rehabilitation Hospital,151 West Galbraith Rd. Cincinnati OH 45216,American Red Cross,2111 Dana Ave. Cincinnati OH 45207,238913,B,-
Encompass Health Rehabilitation Hospital,151 West Galbraith Rd. Cincinnati OH 45216,American Red Cross,2111 Dana Ave. Cincinnati OH 45207,239027,B,+
Encompass Health Rehabilitation Hospital,151 West Galbraith Rd. Cincinnati OH 45216,American Red Cross,2111 Dana Ave. Cincinnati OH 45207,239326,B,-
Encompass Health Rehabilitation Hospital,151 West Galbraith Rd. Cincinnati OH 45216,American Red Cross,2111 Dana Ave. Cincinnati OH 45207,240733,AB,-
Encompass Health Rehabilitation Hospital,151 West Galbraith Rd. Cincinnati OH 45216,American Red Cross,2111 Dana Ave. Cincinnati OH 45207,241243,A,-
Encompass Health Rehabilitation Hospital,151 West Galbraith Rd. Cincinnati OH 45216,American Red Cross,2111 Dana Ave. Cincinnati OH 45207,241518,A,+
Encompass Health Rehabilitation Hospital,151 West Galbraith Rd. Cincinnati OH 45216,American Red Cross,2111 Dana Ave. Cincinnati OH 45207,242170,A,-
Encompass Health Rehabilitation Hospital,151 West Galbraith Rd. Cincinnati OH 45216,American Red Cross,2111 Dana Ave. Cincinnati OH 45207,244543,AB,-
Encompass Health Rehabilitation Hospital,151 West Galbraith Rd. Cincinnati OH 45216,American Red Cross,2111 Dana Ave. Cincinnati OH 45207,245462,O,+
Encompass Health Rehabilitation Hospital,151 West Galbraith Rd. Cincinnati OH 45216,American Red Cross,2111 Dana Ave. Cincinnati OH 45207,248608,B,-
Encompass Health Rehabilitation Hospital,151 West Galbraith Rd. Cincinnati OH 45216,American Red Cross,2111 Dana Ave. Cincinnati OH 45207,249351,O,+
Encompass Health Rehabilitation Hospital,151 West Galbraith Rd. Cincinnati OH 45216,American Red Cross,2111 Dana Ave. Cincinnati OH 45207,251969,B,-
Encompass Health Rehabilitation Hospital,151 West Galbraith Rd. Cincinnati OH 45216,American Red Cross,2111 Dana Ave. Cincinnati OH 45207,251986,B,+
Encompass Health Rehabilitation Hospital,151 West Galbraith Rd. Cincinnati OH 45216,American Red Cross,2111 Dana Ave. Cincinnati OH 45207,253861,B,-
Encompass Health Rehabilitation Hospital,151 West Galbraith Rd. Cincinnati OH 45216,American Red Cross,2111 Dana Ave. Cincinnati OH 45207,255104,AB,+
Encompass Health Rehabilitation Hospital,151 West Galbraith Rd. Cincinnati OH 45216,Hoxworth Blood Center,11812 Springfield Pike Cincinnati OH 45246,257611,O,-
Encompass Health Rehabilitation Hospital,151 West Galbraith Rd. Cincinnati OH 45216,Hoxworth Blood Center,11812 Springfield Pike Cincinnati OH 45246,257736,AB,+
Encompass Health Rehabilitation Hospital,151 West Galbraith Rd. Cincinnati OH 45216,Hoxworth Blood Center,11812 Springfield Pike Cincinnati OH 45246,260453,B,+
Arrowhead Behavorial Health,1725 Timberline Road Maumee OH 43537,American Red Cross,109 E. Perry Street Port Clinton OH 43452,261382,B,+
Arrowhead Behavorial Health,1725 Timberline Road Maumee OH 43537,American Red Cross,109 E. Perry Street Port Clinton OH 43452,262436,AB,+
Arrowhead Behavorial Health,1725 Timberline Road Maumee OH 43537,American Red Cross,109 E. Perry Street Port Clinton OH 43452,263962,AB,+
Arrowhead Behavorial Health,1725 Timberline Road Maumee OH 43537,American Red Cross,109 E. Perry Street Port Clinton OH 43452,264515,B,-
Arrowhead Behavorial Health,1725 Timberline Road Maumee OH 43537,American Red Cross,109 E. Perry Street Port Clinton OH 43452,265228,A,+
Arrowhead Behavorial Health,1725 Timberline Road Maumee OH 43537,American Red Cross,109 E. Perry Street Port Clinton OH 43452,266140,O,-
Arrowhead Behavorial Health,1725 Timberline Road Maumee OH 43537,American Red Cross,109 E. Perry Street Port Clinton OH 43452,266291,AB,-
Arrowhead Behavorial Health,1725 Timberline Road Maumee OH 43537,American Red Cross,109 E. Perry Street Port Clinton OH 43452,266720,B,-
Arrowhead Behavorial Health,1725 Timberline Road Maumee OH 43537,American Red Cross,109 E. Perry Street Port Clinton OH 43452,268485,B,-
Arrowhead Behavorial Health,1725 Timberline Road Maumee OH 43537,American Red Cross,109 E. Perry Street Port Clinton OH 43452,269630,B,+
Arrowhead Behavorial Health,1725 Timberline Road Maumee OH 43537,American Red Cross,109 E. Perry Street Port Clinton OH 43452,269688,AB,-
Arrowhead Behavorial Health,1725 Timberline Road Maumee OH 43537,American Red Cross,109 E. Perry Street Port Clinton OH 43452,270967,A,-
Arrowhead Behavorial Health,1725 Timberline Road Maumee OH 43537,American Red Cross,109 E. Perry Street Port Clinton OH 43452,271917,B,-
Arrowhead Behavorial Health,1725 Timberline Road Maumee OH 43537,American Red Cross,109 E. Perry Street Port Clinton OH 43452,272284,AB,-
Southern Ohio Medical Center,1805 27th Street Portsmouth OH 45662,American Red Cross,181 N. Bridge Street Chillicothe OH 45601,276898,AB,-
Southern Ohio Medical Center,1805 27th Street Portsmouth OH 45662,American Red Cross,181 N. Bridge Street Chillicothe OH 45601,277106,O,+
Southern Ohio Medical Center,1805 27th Street Portsmouth OH 45662,American Red Cross,181 N. Bridge Street Chillicothe OH 45601,278620,B,+
Southern Ohio Medical Center,1805 27th Street Portsmouth OH 45662,American Red Cross,181 N. Bridge Street Chillicothe OH 45601,279145,AB,+
Southern Ohio Medical Center,1805 27th Street Portsmouth OH 45662,American Red Cross,181 N. Bridge Street Chillicothe OH 45601,282339,B,+
Southern Ohio Medical Center,1805 27th Street Portsmouth OH 45662,American Red Cross,181 N. Bridge Street Chillicothe OH 45601,283490,A,-
Southern Ohio Medical Center,1805 27th Street Portsmouth OH 45662,American Red Cross,181 N. Bridge Street Chillicothe OH 45601,283523,A,+
Southern Ohio Medical Center,1805 27th Street Portsmouth OH 45662,American Red Cross,181 N. Bridge Street Chillicothe OH 45601,284117,A,-
Southern Ohio Medical Center,1805 27th Street Portsmouth OH 45662,American Red Cross,181 N. Bridge Street Chillicothe OH 45601,285846,O,-
Southern Ohio Medical Center,1805 27th Street Portsmouth OH 45662,American Red Cross,181 N. Bridge Street Chillicothe OH 45601,285928,A,+
Southern Ohio Medical Center,1805 27th Street Portsmouth OH 45662,American Red Cross,181 N. Bridge Street Chillicothe OH 45601,289508,B,-
Southern Ohio Medical Center,1805 27th Street Portsmouth OH 45662,American Red Cross,181 N. Bridge Street Chillicothe OH 45601,290640,A,+
Southern Ohio Medical Center,1805 27th Street Portsmouth OH 45662,American Red Cross,181 N. Bridge Street Chillicothe OH 45601,292918,AB,+
Southern Ohio Medical Center,1805 27th Street Portsmouth OH 45662,American Red Cross,181 N. Bridge Street Chillicothe OH 45601,292930,AB,+
Southern Ohio Medical Center,1805 27th Street Portsmouth OH 45662,American Red Cross,181 N. Bridge Street Chillicothe OH 45601,293306,AB,+
Southern Ohio Medical Center,1805 27th Street Portsmouth OH 45662,American Red Cross,181 N. Bridge Street Chillicothe OH 45601,294893,O,+
Southern Ohio Medical Center,1805 27th Street Portsmouth OH 45662,American Red Cross,181 N. Bridge Street Chillicothe OH 45601,296582,A,-
Southern Ohio Medical Center,1805 27th Street Portsmouth OH 45662,American Red Cross,181 N. Bridge Street Chillicothe OH 45601,296991,A,-
Southern Ohio Medical Center,1805 27th Street Portsmouth OH 45662,American Red Cross,181 N. Bridge Street Chillicothe OH 45601,298544,B,-
Southern Ohio Medical Center,1805 27th Street Portsmouth OH 45662,American Red Cross,181 N. Bridge Street Chillicothe OH 45601,299780,AB,-
Alliance Community Hospital,200 E State St Alliance OH 44601,American Red Cross,734 Fair Ave NW New Philadelphia OH 44663,301200,AB,-
Alliance Community Hospital,200 E State St Alliance OH 44601,American Red Cross,734 Fair Ave NW New Philadelphia OH 44663,301281,B,+
Alliance Community Hospital,200 E State St Alliance OH 44601,American Red Cross,734 Fair Ave NW New Philadelphia OH 44663,301380,B,+
Alliance Community Hospital,200 E State St Alliance OH 44601,American Red Cross,734 Fair Ave NW New Philadelphia OH 44663,302354,B,+
Alliance Community Hospital,200 E State St Alliance OH 44601,American Red Cross,734 Fair Ave NW New Philadelphia OH 44663,302772,O,-
Alliance Community Hospital,200 E State St Alliance OH 44601,American Red Cross,734 Fair Ave NW New Philadelphia OH 44663,304151,A,+
Alliance Community Hospital,200 E State St Alliance OH 44601,American Red Cross,734 Fair Ave NW New Philadelphia OH 44663,304280,B,+
